#,Country,Campaign to happen (Yes or No),Campaign Status,Quarter Year,Region (State/ Province),BYOD (Yes or No),Campaign Type,Console Version Used,"Campaign Name 
(only confirmed ones to be added)",Pilot or National or Regional,Campaign Partner,SI Partner or eGov,MoU expiry date,# of Provinces/ Counties/ Districts,Level of Complexity,Infrastructure,Actual Dates,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
38,Mozambique,Yes,Yet to Start,Q3 25-26,Multiple,No,SMC,,"Mozambique - SMC - Nampula, Tete, Cabo Delgado and Niassa",Regional,World Vision,eGov,Expiring in Dec 2025,TBC,Low,On Prem,"UAT:
ToT:
Go-Live:",,,,,,,,ToT,Go-Live,Go-Live,Go-Live,Go-Live
40,Congo B,Yes,Yet to Start,Q2 25-26,Multiple,No,Zero Dose,,Zero Dose,TBC,CRS,BAO Systems,Not yet - CRS,TBC,High,Azure,"UAT:
ToT:
Go-Live:",,,,,,UAT+ToT,Go-Live,,,,,
41,Nigeria,Yes,Yet to Start,Q3 25-26,Adamawa,,AZM,,AZM - Round 1,Regional,MC,Beehyv,"Yes, with MC",,Low,AWS,"UAT:
ToT:
Go-Live: 11th -14th October 202; 18th – 21st April 2026",,,,,,,Go-Live,,,,,
42,Nigeria,Yes,Yet to Start,Q3 25-26,Gombe,,AZM,,AZM - Round 1,Regional,MC,Beehyv,"Yes, with MC",,Low,AWS,"UAT:
ToT:
Go-Live: 1st – 4th November 2025; 7th – 10th May 2026",,,,,,,,Go-Live,,,,
43,Nigeria,Yes,Yet to Start,Q3 25-26,"Kaduna, Kebbi and Jigawa",,AZM,,AZM - Round 2,Regional,MC,,"Yes, with MC","Kaduna, Kebbi and Jigawa",Low,AWS,"UAT:
ToT:
Go-Live: Around Nov/Dec",,,,,,,,Go-Live,Go-Live,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
